algoritmo,n,porcentaje,tipo_generador,tiempo
Graham-Random,10000,0.01,Random,0.00650515
Gift-Random,10000,0.01,Random,0.00289214
Graham-Mix,10000,0.01,Mixto,0.00428786
Gift-Mix,10000,0.01,Mixto,0.00371143
Graham-Random,10000,0.1,Random,0.00407222
Gift-Random,10000,0.1,Random,0.00314641
Graham-Mix,10000,0.1,Mixto,0.00426641
Gift-Mix,10000,0.1,Mixto,0.00548778
Graham-Random,10000,0.5,Random,0.00436583
Gift-Random,10000,0.5,Random,0.00480808
Graham-Mix,10000,0.5,Mixto,0.00423553
Gift-Mix,10000,0.5,Mixto,0.00984297
Graham-Random,10000,0.9,Random,0.004157
Gift-Random,10000,0.9,Random,0.00435012
Graham-Mix,10000,0.9,Mixto,0.00429637
Gift-Mix,10000,0.9,Mixto,0.0133191
Graham-Random,100000,0.01,Random,0.0523178
Gift-Random,100000,0.01,Random,0.0558498
Graham-Mix,100000,0.01,Mixto,0.0522797
Gift-Mix,100000,0.01,Mixto,0.0608656
Graham-Random,100000,0.1,Random,0.0504064
Gift-Random,100000,0.1,Random,0.0524009
Graham-Mix,100000,0.1,Mixto,0.051913
Gift-Mix,100000,0.1,Mixto,0.132104
Graham-Random,100000,0.5,Random,0.0539697
Gift-Random,100000,0.5,Random,0.0531411
Graham-Mix,100000,0.5,Mixto,0.0515801
Gift-Mix,100000,0.5,Mixto,0.232852
Graham-Random,100000,0.9,Random,0.0538076
Gift-Random,100000,0.9,Random,0.0455422
Graham-Mix,100000,0.9,Mixto,0.0534392
Gift-Mix,100000,0.9,Mixto,0.290669
Graham-Random,1000000,0.01,Random,0.648383
Gift-Random,1000000,0.01,Random,0.608469
Graham-Mix,1000000,0.01,Mixto,0.635118
Gift-Mix,1000000,0.01,Mixto,1.42904
Graham-Random,1000000,0.1,Random,0.63144
Gift-Random,1000000,0.1,Random,0.587637
Graham-Mix,1000000,0.1,Mixto,0.654509
Gift-Mix,1000000,0.1,Mixto,1.72537
Graham-Random,1000000,0.5,Random,0.677977
Gift-Random,1000000,0.5,Random,0.631595
Graham-Mix,1000000,0.5,Mixto,0.670804
Gift-Mix,1000000,0.5,Mixto,5.05568
Graham-Random,1000000,0.9,Random,0.613818
Gift-Random,1000000,0.9,Random,0.588596
Graham-Mix,1000000,0.9,Mixto,0.626434
Gift-Mix,1000000,0.9,Mixto,5.76751
Graham-Random,10000000,0.01,Random,7.11519
Gift-Random,10000000,0.01,Random,4.74918
Graham-Mix,10000000,0.01,Mixto,7.25091
Gift-Mix,10000000,0.01,Mixto,27.5809
Graham-Random,10000000,0.1,Random,7.65971
Gift-Random,10000000,0.1,Random,7.44342
Graham-Mix,10000000,0.1,Mixto,5.90607
Gift-Mix,10000000,0.1,Mixto,58.3736
Graham-Random,10000000,0.5,Random,7.19079
Gift-Random,10000000,0.5,Random,7.59687
Graham-Mix,10000000,0.5,Mixto,5.78077
Gift-Mix,10000000,0.5,Mixto,96.1567
Graham-Random,10000000,0.9,Random,7.17134
Gift-Random,10000000,0.9,Random,6.63772
Graham-Mix,10000000,0.9,Mixto,7.09312
Gift-Mix,10000000,0.9,Mixto,391.173
